,Unnamed: 0,link,title,price,rating,ratingCount,stock,description,size,color,material,filter type,gender,disposability,earloop,score
424,424,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg13_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_304_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899098%26s%3Dhpc%26sr%3D1-304-spons%26psc%3D1&qualifier=1618899098&id=1648234064719941&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$21.20 ,4.5 out of 5 stars,"89,149 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority.",childrens,black,mixed material,3-ply,unisex,reusable,elastic,3
5,5,/Reusable-Washable-Adjustable-Printed-Covering/dp/B08PD58DTG/ref=sr_1_6?dchild=1&keywords=face+mask&qid=1618898243&s=hpc&sr=1-6,Cloth Face Masks Reusable Washable Adjustable Masks Printed Face Covering for Women Men 6 Pack,,4.7 out of 5 stars,"5,459 ratings",In Stock.," The cloth face masks are designed for extensive wear, which makes them a lot more comfortable for everyday use Washable face mask features a triple layer of material to care of yourself and your family The cute cloth face mask is made with polyester. So you can hand wash and wear the same face mask for many times The 6 pieces face masks is a combination of many colors, including black ;dark gray ;light gray; royal blue; burgundy and army These washable face mask for women the entire area of the mouth and nose for more heed. They come in a standard medium size that fits men and women alike","medium, ",various,polyester,,unisex,reusable,,3
425,425,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg13_1?ie=UTF8&adId=A08174843Q6NQRNU5TQL8&url=%2FHygenix-Disposable-Filter-Tested-Nelson%2Fdp%2FB089TX3BPY%2Fref%3Dsr_1_305_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899098%26s%3Dhpc%26sr%3D1-305-spons%26psc%3D1%26smid%3DA1W8CLML2J3Z1B&qualifier=1618899098&id=1648234064719941&widgetName=sp_mtf,Hygenix 3ply Disposable Face Masks PFE 99% Filter Tested by Nelson Labs USA (Pack of 50 Pcs),,4.5 out of 5 stars,"6,038 ratings",In Stock.," 50 Pcs Latex Free Disposable Premium Quality tested face masks (2 packaging types are in circulation, please see images for more) Protects nose and mouth against fluids, Fluid-Resistant at a pressure of 160 mmHg Tested by Nelson Labs in the USA. Full reports available upon request! Premium Filter protects against 99% of particles larger then 0.1 μm, PFE filter Efficiency = 99% Tested by Nelson Labs in the USA. Full reports available upon request! These masks are manufactured in a class 100,000 cleanroom to uphold the maximum quality standards. These masks should be disposed of after each use. Shelf live 2 years. Test reports available in the images, Need full reports? contact us and we will provide you these! (Tested by Nelson Labs in the USA and made in China by a Dutch owned brand and manufacturing facility).","large, ",red,,,mens,disposable,,3
406,406,/BeatBasic-Dust-Mouth/dp/B088D7HG5M/ref=sr_1_294?dchild=1&keywords=face+mask&qid=1618899031&s=hpc&sr=1-294,Pack 3 Dust Mouth Cover - Reusable Cloth Comfy Breathable Material,$7.64 ,4.4 out of 5 stars,"10,181 ratings",In Stock.," Other ✅ ""IKJK direct"" is only seller who sell this BeatBasic dust proof Face Protection.IKJK Classical dust proof mouth Face Protection.This inner is made of cloth.Very Soft and Breathable,Washable. ✅ Dust Proof protection mouth Face Protection for cycling, camping, hiking, for your mouth and face from dust, cold, ash, pollen. ✅ Our BeatBasic Face Protection has been designed for any user(Child Over 12 years of age).Very useful and very fashionable. ✅ Cloth mouth mask cares for your skin keep fresh. ✅ Package includes: 3 PIECES Face Protections include.Of course with BeatBasic package.",universal,,,,unisex,reusable,,3
405,405,/NYBEE-Cooling-Breathable-Comfortable-Washable/dp/B08T84BPTH/ref=sr_1_293?dchild=1&keywords=face+mask&qid=1618899031&s=hpc&sr=1-293,"NYBEE Sport Cooling Protex 24 Hour Breathable And Comfortable Copper And Silver Face Mask Washable, Unisex-1pack",,4.3 out of 5 stars,74 ratings,In Stock.," Micro silver ion(Ag+) polyester 85%,  Polyurethane 7%, Copper 8% blended fiber Imported [Copper+Silver] NYBEE Sport Cooling Protex Micro Copper And Silver Mask helps to provide great cooling effect, odor prevention, wicks away moisture and makes your skin feel fresh, soft, comfort all day and help regulate skin temperature. [3 Layer Nano Tech] NYBEE Cooling Protex new silver and copper mask is an ultra-lightweight and soft performance fabric that utilizes silver and copper ions to extra break down odor and deodorizing effect 24 hours. [Breathable X2] NYBEE Sports cooling protex copper+silver mask Allows for an easier breathing experience technology. Durable & Stretchy, Comfortable Earloop Fit. Extra softly wrap around the face for a smooth, soft, comfy and irritating protection. [Durable & Washable] UPF 50+ fabric technology protects your skin from the sun's 99.9% of UV rays. Wicks moisture away and makes your skin feel fresh all day. Easy to Hand Wash & Quick Dry without clammy and crack. [Comfortable] Best for winter, spring and even great for all weather four season. Our masks will keep you comfortable and good looking whether you're at home and at work, school, drive, travel, party, golf, sport or trips to the supermarket and gym. Count on the COOLING PROTEX fashion mask family of products for everyday usage: Stay cool and wearing Yourself and family from the Sun With Our COOLING PROTEX!",universal,,polyester,3 layer,unisex,reusable,elastic,3
192,192,/Cool-Protection-Stand-Comfortable-Breathing/dp/B088CT535G/ref=sr_1_143?dchild=1&keywords=face+mask&qid=1618898600&s=hpc&sr=1-143,Cool Protection Stand - 3D Mask Bracket - Face Mask Inner Support Frame - Plastic Bracket - More Space for Comfortable Breathing Protect Lipstick Washable Reusable,,3.9 out of 5 stars,"25,247 ratings",In Stock.," 【High-quality Material】Face frame support bracket made of food-grade plastic material, soft, smooth and comfortable, non-toxic and harmless,non-irritating to the skin,washable and reusable. 【Bracket Function】The common way of wearing mask will cause fogging, which will affect the vision when walking or cycling.protecting your perfect makeup from being messed up, do not stick lipstick. 【Much Cleaner for Mask Wearing】The bracket reduces the friction frequency between mask and face to protect the lining from getting stained. 【Comfortable】It’s designed to fit the face of of the nose bridge Cross type, make your nose feel no pressure. Breathing more smoothly, breathable and not stuffy. 【Remind】-Using double sided tape or thread to fasten the bracket frame onto the mask can make it work better.",universal,red,,,unisex,reusable,,3
458,458,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg14_1?ie=UTF8&adId=A08174843Q6NQRNU5TQL8&url=%2FHygenix-Disposable-Filter-Tested-Nelson%2Fdp%2FB089TX3BPY%2Fref%3Dsr_1_329_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899166%26s%3Dhpc%26sr%3D1-329-spons%26psc%3D1%26smid%3DA1W8CLML2J3Z1B&qualifier=1618899166&id=3827253823045312&widgetName=sp_mtf,Hygenix 3ply Disposable Face Masks PFE 99% Filter Tested by Nelson Labs USA (Pack of 50 Pcs),,4.5 out of 5 stars,"6,038 ratings",In Stock.," 50 Pcs Latex Free Disposable Premium Quality tested face masks (2 packaging types are in circulation, please see images for more) Protects nose and mouth against fluids, Fluid-Resistant at a pressure of 160 mmHg Tested by Nelson Labs in the USA. Full reports available upon request! Premium Filter protects against 99% of particles larger then 0.1 μm, PFE filter Efficiency = 99% Tested by Nelson Labs in the USA. Full reports available upon request! These masks are manufactured in a class 100,000 cleanroom to uphold the maximum quality standards. These masks should be disposed of after each use. Shelf live 2 years. Test reports available in the images, Need full reports? contact us and we will provide you these! (Tested by Nelson Labs in the USA and made in China by a Dutch owned brand and manufacturing facility).","large, ",red,,,mens,disposable,,3
654,654,/Butterfly-Face_Mask-Colorful-Protective-Adjustable/dp/B08V4ZMPNF/ref=sr_1_477?dchild=1&keywords=face+mask&qid=1618899566&s=hpc&sr=1-477,3 Pcs Butterfly Face_Mask for Women Man Colorful Butterfly Clover Mouth Protective Reusable Washable Designer Cloth Adjustable Cute Funny Gift for Women Men,,4.4 out of 5 stars,41 ratings,In Stock.," 🦋 【Reasonable Design】Created to serve a greater need, our Face_Mask is designed with a stretchable, form-fitting fabric for the utmost comfort and safeguarding when out in the world. One adjustable size is suitable for most adults 🦋 【Material】Butterfly Face_Mask for Adults - made of environmental friendly material, soft and comfortable 🦋 【Size】One size fits most adults. Adjustable Silk Scarf are good for women and men wearing all the day 🦋 【WASHABLE & REUSABLE】Washable Face_Mask are made with only the highest quality fabric and materials that withstand washing and will not lose its function over the course of time,it can be reused after quick to dry, making it both shielding and eco-conscious 🦋 【Widely Applications】We give you the warmest care ▪ face cover: Outside Running, hunting, fishing, hiking, motorcycle, biking, skiing, snowboarding and snowmobile riding, mountain, biking; Perfect for bikers, hikers, outdoor sports, party, festival Christmas, New Year's Eve etc","one size fits most, adult, suitable for most, ",colorful,,,unisex,reusable,elastic,3
650,650,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg20_1?ie=UTF8&adId=A08174843Q6NQRNU5TQL8&url=%2FHygenix-Disposable-Filter-Tested-Nelson%2Fdp%2FB089TX3BPY%2Fref%3Dsr_1_473_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899566%26s%3Dhpc%26sr%3D1-473-spons%26psc%3D1%26smid%3DA1W8CLML2J3Z1B&qualifier=1618899566&id=1701051973017380&widgetName=sp_mtf,Hygenix 3ply Disposable Face Masks PFE 99% Filter Tested by Nelson Labs USA (Pack of 50 Pcs),,4.5 out of 5 stars,"6,038 ratings",In Stock.," 50 Pcs Latex Free Disposable Premium Quality tested face masks (2 packaging types are in circulation, please see images for more) Protects nose and mouth against fluids, Fluid-Resistant at a pressure of 160 mmHg Tested by Nelson Labs in the USA. Full reports available upon request! Premium Filter protects against 99% of particles larger then 0.1 μm, PFE filter Efficiency = 99% Tested by Nelson Labs in the USA. Full reports available upon request! These masks are manufactured in a class 100,000 cleanroom to uphold the maximum quality standards. These masks should be disposed of after each use. Shelf live 2 years. Test reports available in the images, Need full reports? contact us and we will provide you these! (Tested by Nelson Labs in the USA and made in China by a Dutch owned brand and manufacturing facility).","large, ",red,,,mens,disposable,,3
158,158,/Weight-Fashion-Covering-Reusable-Washable/dp/B088YNMC7F/ref=sr_1_117?dchild=1&keywords=face+mask&qid=1618898528&s=hpc&sr=1-117,"Light Weight Unisex Adult Fashion Face Covering, Reusable, Dust Proof, Washable, Cool 5 Mixed Colors",,4.2 out of 5 stars,"9,407 ratings",In Stock.," K-POP style fashion face cover. Skin-friendly fabric makes it comfortable and breathable. Excellent elasticity, good fit, no skin irritation, and no ear pain even after prolonged use. This fashion face cover is suitable for cycling, camping, running, travel, climbing, and daily use. Comfortable, Reusable, Washable, Wrinkle free, UV protection functional fabric.","adult, ",,,,unisex,reusable,elastic,3
13,13,/Adult-Cloth-Face-Mask-Reusable/dp/B08LZLBTR2/ref=sr_1_12?dchild=1&keywords=face+mask&qid=1618898243&s=hpc&sr=1-12,Adult Cloth Face Mask Reusable - Washable Face Masks Adjustable 3Py Face Masks Cover for Women Men - Pack of 9,,4.7 out of 5 stars,814 ratings,In Stock.," The fashion face masks for women with nose wire are made from premium fabric;a pocket is designed inside,It is very comfortable to wear and very fashionable for you The cute washable face mask fits most unisex adults with normal face; Hiding the entire face can effectively prevent sunburn;This face covering will care you from cold,passive smoking and so on The washable face mask is easy to carry around, durable for your daily use;For a variety of locations, such as commuting, schooling,cleaning, gardening and outdoor 3 layers of fabric face mask helps create a comfortable barrier for nose and mouth;It has an adjustable nose clip and elastic earloop;It can be adjusted according to your face to make it fit better 9 packs of colorful face mask are including black ,grey ,burgundy, navy ,army,blue ,khaki, purple and dark Grey;and it is also very easy to integrate in any outfit","adult, ",various,,3 layer,unisex,reusable,elastic,3
154,154,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg5_1?ie=UTF8&adId=A08174843Q6NQRNU5TQL8&url=%2FHygenix-Disposable-Filter-Tested-Nelson%2Fdp%2FB089TX3BPY%2Fref%3Dsr_1_113_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618898528%26s%3Dhpc%26sr%3D1-113-spons%26psc%3D1%26smid%3DA1W8CLML2J3Z1B&qualifier=1618898528&id=8734428636716434&widgetName=sp_mtf,Hygenix 3ply Disposable Face Masks PFE 99% Filter Tested by Nelson Labs USA (Pack of 50 Pcs),,4.5 out of 5 stars,"6,038 ratings",In Stock.," 50 Pcs Latex Free Disposable Premium Quality tested face masks (2 packaging types are in circulation, please see images for more) Protects nose and mouth against fluids, Fluid-Resistant at a pressure of 160 mmHg Tested by Nelson Labs in the USA. Full reports available upon request! Premium Filter protects against 99% of particles larger then 0.1 μm, PFE filter Efficiency = 99% Tested by Nelson Labs in the USA. Full reports available upon request! These masks are manufactured in a class 100,000 cleanroom to uphold the maximum quality standards. These masks should be disposed of after each use. Shelf live 2 years. Test reports available in the images, Need full reports? contact us and we will provide you these! (Tested by Nelson Labs in the USA and made in China by a Dutch owned brand and manufacturing facility).","large, ",red,,,mens,disposable,,3
153,153,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg5_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_112_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618898528%26s%3Dhpc%26sr%3D1-112-spons%26psc%3D1&qualifier=1618898528&id=8734428636716434&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$21.20 ,4.5 out of 5 stars,"89,148 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority.",childrens,black,mixed material,3-ply,unisex,reusable,elastic,3
393,393,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg12_1?ie=UTF8&adId=A08174843Q6NQRNU5TQL8&url=%2FHygenix-Disposable-Filter-Tested-Nelson%2Fdp%2FB089TX3BPY%2Fref%3Dsr_1_281_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899031%26s%3Dhpc%26sr%3D1-281-spons%26psc%3D1%26smid%3DA1W8CLML2J3Z1B&qualifier=1618899031&id=3520467376087010&widgetName=sp_mtf,Hygenix 3ply Disposable Face Masks PFE 99% Filter Tested by Nelson Labs USA (Pack of 50 Pcs),,4.5 out of 5 stars,"6,038 ratings",In Stock.," 50 Pcs Latex Free Disposable Premium Quality tested face masks (2 packaging types are in circulation, please see images for more) Protects nose and mouth against fluids, Fluid-Resistant at a pressure of 160 mmHg Tested by Nelson Labs in the USA. Full reports available upon request! Premium Filter protects against 99% of particles larger then 0.1 μm, PFE filter Efficiency = 99% Tested by Nelson Labs in the USA. Full reports available upon request! These masks are manufactured in a class 100,000 cleanroom to uphold the maximum quality standards. These masks should be disposed of after each use. Shelf live 2 years. Test reports available in the images, Need full reports? contact us and we will provide you these! (Tested by Nelson Labs in the USA and made in China by a Dutch owned brand and manufacturing facility).","large, ",red,,,mens,disposable,,3
453,453,/Craft-Soul-Reusable-Washable-Comfortable/dp/B08KGV9NW6/ref=sr_1_324?dchild=1&keywords=face+mask&qid=1618899166&s=hpc&sr=1-324,(5 Masks Pieces per Pack) Craft & Soul Mattana Premium 3-Ply Layer Face Mask Cover Reusable Washable Comfortable Fabric Cloth,,4.7 out of 5 stars,192 ratings,In Stock.," General Use - This is a general purpose face mask. Not intended for medical use. Each pack contains 5 pieces. Made In Vietnam. Quality Construction - The quality fabric, stitching, ear straps, and fit are designed for comfort and durability. Made by the same skilled apparel workers that make Craft & Soul Men's Clothing. Craft & Soul is a U.S. based brand with manufacturing in Vietnam. Craft & Soul is available exclusively on Amazon. Comfortable - Made of high quality 3-Ply Layer design. The outside mask layer is soft water resistant 100% Polyester, the middle layer is 100% Polypropylene, and the inside layer closest to your face is soft 35% Cotton/65% Polyester knit fabric. The mask is soft and comfortable with stretchable fabric that fits closely along the face. Breathable three layer design. Washable & Reusable - Easy to care for and can be used repeatedly. One size which fits most men and women comfortably with excellent close fit. Elastic stretch ear loops with adjustable tabs for just the right personalized fit. CDC recommends wearing cloth face coverings in public settings and washing after each use. You can wash and dry with your regular laundry.",universal,,mixed material,3-ply,unisex,reusable,elastic,3
30,30,/2-Pack-Unisex-Cloth-Washable-Reusable/dp/B0899V668G/ref=sr_1_29?dchild=1&keywords=face+mask&qid=1618898243&s=hpc&sr=1-29,2-Pack Unisex Cloth Washable Reusable Cover-100% Cotton 3Layer men women outdoor,,4.4 out of 5 stars,"17,093 ratings",In Stock.," 100% Cotton Hook and Loop closure 3D Nose Structured design sits up off the face & lips for added comfort & breathability Enough Face Covering fabric / longlasting ear-loop / 95% cotton, 5% spandex Reusable / Washable / Triple layers / Easy Breathable lining layer / Machine Cold wash Anti fog - Nose Adjustable Bridge 2-Pack included / each gift package",universal,red,mixed material,,unisex,reusable,,3
457,457,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg14_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_328_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899166%26s%3Dhpc%26sr%3D1-328-spons%26psc%3D1&qualifier=1618899166&id=3827253823045312&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$21.20 ,4.5 out of 5 stars,"89,149 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority.",childrens,black,mixed material,3-ply,unisex,reusable,elastic,3
117,117,/Gildan-Adult-Reusable-3-Layer-Cotton/dp/B089ZDLCC4/ref=sr_1_87?dchild=1&keywords=face+mask&qid=1618898461&s=hpc&sr=1-87,Gildan Adult Reusable 3-Layer Ear Loop Face Mask (24 Pack),,4.3 out of 5 stars,"4,428 ratings",In Stock.," Outer Layer: 100% Polyester; Inner Layer: 100% Ring-spun Cotton Imported Pack of 24 Machine Washable and Reusable The CDC recommends use of cotton or cloth face coverings in public to reduce community spread by asymptomatic persons 3-layer protective construction, intended for everyday wear Soft, elastic ear loops ensure a stay-put fit","adult, ",red,mixed material,,unisex,reusable,elastic,3
416,416,/Shaper-Corset-Pack-Cloth-Washable/dp/B08QND568S/ref=sr_1_296?dchild=1&keywords=face+mask&qid=1618899098&s=hpc&sr=1-296,"Shaper Corset 6 Pack Cloth Face Mask Washable with Nose Wire - Filter Pocket,Reusable Cotton Fabric Adjustable Face Masks for Men and Women",,4.8 out of 5 stars,136 ratings,In Stock.," 【Package includes】：You will receive 6 pack cloth face masks, black x3, burgundy x1, light gray x1, royal blue x1. One size fits for most people. 【High-quality material】： These fashion face masks are handmade with 60%-70% cotton fabrics and 30-40% polyester.They are cute ,breathable, and very durable.It is very comfortable to wear and very good-looking for adults, and it is also very good with clothing. 【Washable and Reusable Face Mask】：These washable face mask for women and men will not shrink,can be reused. More hygienic and stays in place better than wearing a scarf, bandana, neck wrap or balaclava. 【Broad applicability and Protection】 : Face mask with filter pocket providing more protection for your face and mouths.You can insert the filter in the pocket(there is no filter in this set, it needs to be purchased separately).This product will protect you from outdoor,cold,ash,pollen,fog ,haze,vehicle exhaust,passive smoking and so on.For a variety of locations, such as commuting, schooling, cleaning, gardening, hiking and outdoor activities. 【Comfortable and Adjustable】 : Three layers cotton face mask with nose wire helps create a comfortable barrier for nose and mouth.It has an elastic earloop, you can wear it for a long time.It can be adjusted according to your face to make it fit better.","adult, ",various,mixed material,filter pocket,unisex,reusable,elastic,3
360,360,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg11_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_256_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618898965%26s%3Dhpc%26sr%3D1-256-spons%26psc%3D1&qualifier=1618898965&id=5890693124632213&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$21.20 ,4.5 out of 5 stars,"89,149 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority.",childrens,black,mixed material,3-ply,unisex,reusable,elastic,3
585,585,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg18_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_424_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618899430%26s%3Dhpc%26sr%3D1-424-spons%26psc%3D1&qualifier=1618899430&id=1478798988289983&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$21.20 ,4.5 out of 5 stars,"89,149 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority.",childrens,black,mixed material,3-ply,unisex,reusable,elastic,3
559,559,/Buttonsmith-Black-Adult-Cotton-Adjustable/dp/B08BWBQ3T3/ref=sr_1_406?dchild=1&keywords=face+mask&qid=1618899365&s=hpc&sr=1-406,Buttonsmith Black Adult XL Cotton Adjustable Face Mask - Made in the USA,,4.5 out of 5 stars,"9,251 ratings",In Stock.," Adjustable Ear Loops: The ear loops are adjustable to allow you to get the mask to fit your face easily. There is a built in lanyard strap that goes around your neck to keep the mask on you body when you need to take it off your face. Patent pending design. Comfortable, Breathable, & Washable: These masks are made from two layers of cotton t-shirt material, making them soft on the skin and easy to breath through. You can wash and reuse your mask over and over again. Available in 3 Sizes: Masks are available in three sizes youth (ages 6-12), adult large (teens and adults), adult xl (people with large faces and men with beards). Pocket for Filters: There is a pocket where you can insert filters into this mask. The filters are not included. Made in the USA: These masks are made in the USA from US Made fabric. Thanks for supporting American manufacturing.",childrens,black,cotton,,mens,,adjustable,3
53,53,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_hpc_sr_pg2_1?ie=UTF8&adId=A011577216MPXNYFKM2FU&url=%2FEnerPlex-Premium-3-Ply-Reusable-Face%2Fdp%2FB088C2WD5F%2Fref%3Dsr_1_40_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618898316%26s%3Dhpc%26sr%3D1-40-spons%26psc%3D1&qualifier=1618898316&id=34243739689408&widgetName=sp_mtf,"EnerPlex 3-Ply Reusable Face Mask - Breathable Comfort, Fully Machine Washable, Face Masks Large (3-Pack) - Black",$21.20 ,4.5 out of 5 stars,"89,148 ratings",In Stock.," At EnerPlex, we understand that a face mask is not a “one size fits most” - We also know that if you wear a mask it should be comfortable, fit properly, and provide proper protection which is why we came up with our High End 3-Ply Safety Masks in 3 sizes. We developed a sizing chart for Youth, Medium/Large, & Extra Large. Should you have any issue with size please contact us immediately and we will help out with sizing. This Size Will Fits Most Adults, Please See Size Chart in Image Section - Key Features: EnerPlex Face Masks are a Three-Layer Design – Outer layer DWR 100% Polyester, Middle Layer Cotton Blend, Inner Layer NanoFine Cotton Blend – soft against the skin. Designed with high quality light weight fabric for maximum comfort. Our stretch ear loops allow for a snug and secure fit. Ideal for everyday use – Indoor/Outdoor, great for essential workers, can be utilized while traveling, running errands, attending grooming appointments, etc. Care: wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. No fabric softener With our EnerPlex Face Masks customer service, quality, and safety is our number one priority.",childrens,black,mixed material,3-ply,unisex,reusable,elastic,3
